PersonId,RörelseId,PhaseId,StartTid,SlutTid,AspektId,Gem_Avvikelse
fp4,2a_1,f1,0.0,0.26,9,2
fp4,2a_1,f1,0.0,0.26,10,1
fp4,2a_1,f1,0.0,0.26,11,1
fp4,2a_1,f2,0.26,0.28,1,2
fp4,2a_1,f3,0.28,1.2,1,1
fp4,2a_1,f3,0.28,1.2,2,0
fp4,2a_1,f3,0.28,1.2,3,2
fp4,2a_1,f3,0.28,1.2,4,2
fp4,2a_1,f3,0.28,1.2,5,0
fp4,2a_1,f3,0.28,1.2,6,1
fp4,2a_1,f3,0.28,1.2,7,0
fp4,2a_1,f3,0.28,1.2,8,1
fp4,2a_1,f3,0.28,1.2,9,1
fp4,2a_1,f3,0.28,1.2,10,2
fp5,2a_1,f1,0.0,0.16,1,1
fp5,2a_1,f1,0.0,0.16,2,1
fp5,2a_1,f1,0.0,0.16,3,2
fp5,2a_1,f1,0.0,0.16,4,2
fp5,2a_1,f1,0.0,0.16,5,
fp5,2a_1,f1,0.0,0.16,6,2
fp5,2a_1,f1,0.0,0.16,7,1
fp5,2a_1,f1,0.0,0.16,8,2
fp5,2a_1,f1,0.0,0.16,9,2
fp5,2a_1,f1,0.0,0.16,10,1
fp5,2a_1,f1,0.0,0.16,11,1
fp5,2a_1,f2,0.16,0.21,1,1
fp5,2a_1,f3,0.21,1.22,1,1
fp5,2a_1,f3,0.21,1.22,2,0
fp5,2a_1,f3,0.21,1.22,3,0
fp5,2a_1,f3,0.21,1.22,4,2
fp5,2a_1,f3,0.21,1.22,5,0
fp5,2a_1,f3,0.21,1.22,6,0
fp5,2a_1,f3,0.21,1.22,7,1
fp5,2a_1,f3,0.21,1.22,8,1
fp5,2a_1,f3,0.21,1.22,9,1
fp5,2a_1,f3,0.21,1.22,10,2
fp1,2a_2,f1,0.0,0.01,1,0
fp1,2a_2,f1,0.0,0.01,2,1
fp1,2a_2,f1,0.0,0.01,3,1
fp1,2a_2,f1,0.0,0.01,4,1
fp1,2a_2,f1,0.0,0.01,5,0
fp1,2a_2,f1,0.0,0.01,6,
fp1,2a_2,f1,0.0,0.01,7,
fp1,2a_2,f1,0.0,0.01,8,
fp1,2a_2,f1,0.0,0.01,9,0
fp1,2a_2,f1,0.0,0.01,10,
fp1,2a_2,f1,0.0,0.01,11,0
fp1,2a_2,f1,0.0,0.01,12,0
fp1,2a_2,f1,0.0,0.01,13,
fp1,2a_2,f1,0.0,0.01,14,2
fp1,2a_2,f1,0.0,0.01,15,0
fp1,2a_2,f2,0.01,0.03,1,0
fp1,2a_2,f3,0.03,1.0,1,0
fp1,2a_2,f3,0.03,1.0,2,0
fp1,2a_2,f3,0.03,1.0,3,0
fp1,2a_2,f3,0.03,1.0,4,0
fp1,2a_2,f3,0.03,1.0,5,0
fp1,2a_2,f3,0.03,1.0,6,0
fp1,2a_2,f3,0.03,1.0,7,2
fp2,2a_2,f1,0.0,3.98,1,0
fp2,2a_2,f1,0.0,3.98,2,2
fp2,2a_2,f1,0.0,3.98,3,1
fp2,2a_2,f1,0.0,3.98,4,1
fp2,2a_2,f1,0.0,3.98,5,1
fp2,2a_2,f1,0.0,3.98,6,1
fp2,2a_2,f1,0.0,3.98,7,1
fp2,2a_2,f1,0.0,3.98,8,
fp2,2a_2,f1,0.0,3.98,9,0
fp2,2a_2,f1,0.0,3.98,10,
fp2,2a_2,f1,0.0,3.98,11,1
fp2,2a_2,f1,0.0,3.98,12,1
fp2,2a_2,f1,0.0,3.98,13,
fp2,2a_2,f1,0.0,3.98,14,2
fp2,2a_2,f1,0.0,3.98,15,2
fp2,2a_2,f2,3.98,4.0,1,1
fp2,2a_2,f3,4.0,4.97,1,0
fp2,2a_2,f3,4.0,4.97,2,0
fp2,2a_2,f3,4.0,4.97,3,2
fp2,2a_2,f3,4.0,4.97,4,0
fp2,2a_2,f3,4.0,4.97,5,0
fp2,2a_2,f3,4.0,4.97,6,1
fp2,2a_2,f3,4.0,4.97,7,2
fp3,2a_2,f1,0.0,0.04,1,1
fp3,2a_2,f1,0.0,0.04,2,0
fp3,2a_2,f1,0.0,0.04,3,0
fp3,2a_2,f1,0.0,0.04,4,0
fp3,2a_2,f1,0.0,0.04,5,0
fp3,2a_2,f1,0.0,0.04,6,
fp3,2a_2,f1,0.0,0.04,7,
fp3,2a_2,f1,0.0,0.04,8,
fp3,2a_2,f1,0.0,0.04,9,
fp3,2a_2,f1,0.0,0.04,10,
fp3,2a_2,f1,0.0,0.04,11,1
fp3,2a_2,f1,0.0,0.04,12,0
fp3,2a_2,f1,0.0,0.04,13,
fp3,2a_2,f1,0.0,0.04,14,2
fp3,2a_2,f1,0.0,0.04,15,0
fp3,2a_2,f2,0.04,0.06,1,0
fp3,2a_2,f3,0.06,1.95,1,0
fp3,2a_2,f3,0.06,1.95,2,0
fp3,2a_2,f3,0.06,1.95,3,0
fp3,2a_2,f3,0.06,1.95,4,0
fp3,2a_2,f3,0.06,1.95,5,0
fp3,2a_2,f3,0.06,1.95,6,0
fp3,2a_2,f3,0.06,1.95,7,2
fp4,2a_2,f1,0.0,0.19,1,1
fp4,2a_2,f1,0.0,0.19,2,1
fp4,2a_2,f1,0.0,0.19,3,1
fp4,2a_2,f1,0.0,0.19,4,1
fp4,2a_2,f1,0.0,0.19,5,0
fp4,2a_2,f1,0.0,0.19,6,0
fp4,2a_2,f1,0.0,0.19,7,
fp4,2a_2,f1,0.0,0.19,8,0
fp4,2a_2,f1,0.0,0.19,9,1
fp4,2a_2,f1,0.0,0.19,10,
fp4,2a_2,f1,0.0,0.19,11,1
fp4,2a_2,f1,0.0,0.19,12,2
fp4,2a_2,f1,0.0,0.19,13,
fp4,2a_2,f1,0.0,0.19,14,2
fp4,2a_2,f1,0.0,0.19,15,
fp4,2a_2,f2,0.19,0.23,1,1
fp4,2a_2,f3,0.23,0.93,1,0
fp4,2a_2,f3,0.23,0.93,2,0
fp4,2a_2,f3,0.23,0.93,3,1
fp4,2a_2,f3,0.23,0.93,4,0
fp4,2a_2,f3,0.23,0.93,5,0
fp4,2a_2,f3,0.23,0.93,6,1
fp4,2a_2,f3,0.23,0.93,7,2
fp5,2a_2,f1,0.0,0.15,1,0
fp5,2a_2,f1,0.0,0.15,2,1
fp5,2a_2,f1,0.0,0.15,3,1
fp5,2a_2,f1,0.0,0.15,4,1
fp5,2a_2,f1,0.0,0.15,5,0
fp5,2a_2,f1,0.0,0.15,6,0
fp5,2a_2,f1,0.0,0.15,7,
fp5,2a_2,f1,0.0,0.15,8,1
fp5,2a_2,f1,0.0,0.15,9,1
fp5,2a_2,f1,0.0,0.15,10,
fp5,2a_2,f1,0.0,0.15,11,2
fp5,2a_2,f1,0.0,0.15,12,1
fp5,2a_2,f1,0.0,0.15,13,
fp5,2a_2,f1,0.0,0.15,14,2
fp5,2a_2,f1,0.0,0.15,15,1
fp5,2a_2,f2,0.15,0.2,1,0
fp5,2a_2,f3,0.2,0.61,1,0
fp5,2a_2,f3,0.2,0.61,2,0
fp5,2a_2,f3,0.2,0.61,3,1
fp5,2a_2,f3,0.2,0.61,4,0
fp5,2a_2,f3,0.2,0.61,5,0
fp5,2a_2,f3,0.2,0.61,6,1
fp5,2a_2,f3,0.2,0.61,7,2
